state,county,fips,POP tot,land area (sq/mi),pop/sqmi
Mississippi,Adams,28001,30693,460,66.7
Mississippi,Alcorn,28003,36953,400,92.4
Mississippi,Amite,28005,12297,730,16.8
Mississippi,Attala,28007,18174,735,24.7
Mississippi,Benton,28009,8259,407,20.3
Mississippi,Bolivar,28011,30628,876,35
Mississippi,Calhoun,28013,14361,587,24.5
Mississippi,Carroll,28015,9947,628,15.8
Mississippi,Chickasaw,28017,17103,502,34.1
Mississippi,Choctaw,28019,8210,419,19.6
Mississippi,Claiborne,28021,8988,487,18.5
Mississippi,Clarke,28023,15541,691,22.5
Mississippi,Clay,28025,19316,409,47.2
Mississippi,Coahoma,28027,22124,554,39.9
Mississippi,Copiah,28029,28065,777,36.1
Mississippi,Covington,28031,18636,414,45
Mississippi,DeSoto,28033,184945,478,386.9
Mississippi,Forrest,28035,74897,467,160.4
Mississippi,Franklin,28037,7713,565,13.7
Mississippi,George,28039,24500,478,51.3
Mississippi,Greene,28041,13586,713,19.1
Mississippi,Grenada,28043,20758,422,49.2
Mississippi,Hancock,28045,47632,477,99.9
Mississippi,Harrison,28047,208080,581,358.1
Mississippi,Hinds,28049,231840,869,266.8
Mississippi,Holmes,28051,17010,756,22.5
Mississippi,Humphreys,28053,8064,418,19.3
Mississippi,Issaquena,28055,1327,413,3.2
Mississippi,Itawamba,28057,23390,532,44
Mississippi,Jackson,28059,143617,727,197.5
Mississippi,Jasper,28061,16383,676,24.2
Mississippi,Jefferson,28063,6990,519,13.5
Mississippi,Jefferson Davis,28065,11128,408,27.3
Mississippi,Jones,28067,68098,694,98.1
Mississippi,Kemper,28069,9742,766,12.7
Mississippi,Lafayette,28071,54019,631,85.6
Mississippi,Lamar,28073,63343,497,127.5
Mississippi,Lauderdale,28075,74125,704,105.3
Mississippi,Lawrence,28077,12586,431,29.2
Mississippi,Leake,28079,22786,583,39.1
Mississippi,Lee,28081,85436,450,189.9
Mississippi,Leflore,28083,28183,592,47.6
Mississippi,Lincoln,28085,34153,586,58.3
Mississippi,Lowndes,28087,58595,502,116.7
Mississippi,Madison,28089,106272,719,147.8
Mississippi,Marion,28091,24573,542,45.3
Mississippi,Marshall,28093,35294,706,50
Mississippi,Monroe,28095,35252,764,46.1
Mississippi,Montgomery,28097,9775,407,24
Mississippi,Neshoba,28099,29118,570,51.1
Mississippi,Newton,28101,21018,578,36.4
Mississippi,Noxubee,28103,10417,695,15
Mississippi,Oktibbeha,28105,49587,458,108.3
Mississippi,Panola,28107,34192,684,50
Mississippi,Pearl River,28109,55535,812,68.4
Mississippi,Perry,28111,11973,647,18.5
Mississippi,Pike,28113,39288,409,96.1
Mississippi,Pontotoc,28115,32174,497,64.7
Mississippi,Prentiss,28117,25126,415,60.5
Mississippi,Quitman,28119,6792,405,16.8
Mississippi,Rankin,28121,155271,775,200.3
Mississippi,Scott,28123,28124,609,46.2
Mississippi,Sharkey,28125,4321,428,10.1
Mississippi,Simpson,28127,26658,589,45.3
Mississippi,Smith,28129,15916,636,25
Mississippi,Stone,28131,18336,445,41.2
Mississippi,Sunflower,28133,25110,694,36.2
Mississippi,Tallahatchie,28135,13809,644,21.4
Mississippi,Tate,28137,28321,404,70.1
Mississippi,Tippah,28139,22015,458,48.1
Mississippi,Tishomingo,28141,19383,424,45.7
Mississippi,Tunica,28143,9632,455,21.2
Mississippi,Union,28145,28815,416,69.3
Mississippi,Walthall,28147,14286,404,35.4
Mississippi,Warren,28149,45381,587,77.3
Mississippi,Washington,28151,43909,724,60.6
Mississippi,Wayne,28153,20183,810,24.9
Mississippi,Webster,28155,9689,423,22.9
Mississippi,Wilkinson,28157,8630,677,12.7
Mississippi,Winston,28159,17955,607,29.6
Mississippi,Yalobusha,28161,12108,467,25.9
Mississippi,Yazoo,28163,29690,920,32.3
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
